,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
3308,slave,4,1.74968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3328,slave,4,1.75965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3348,slave,4,1.76957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3368,slave,4,1.77941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3388,slave,4,1.7891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3408,slave,4,1.79863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3428,slave,4,1.80995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3448,slave,4,1.81936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3468,slave,4,1.82873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3488,slave,4,1.83986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3508,slave,4,1.84901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3528,slave,4,1.85989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3548,slave,4,1.86895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3568,slave,4,1.87985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3588,slave,4,1.88891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3608,slave,4,1.89972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3628,slave,4,1.90869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3648,slave,4,1.9195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3668,slave,4,1.92856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3688,slave,4,1.93942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3708,slave,4,1.94844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3728,slave,4,1.95925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3748,slave,4,1.96834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3768,slave,4,1.97935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3788,slave,4,1.98856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3808,slave,4,1.99956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
